,0,1
510,-5.1531086,1.7742733
511,-5.195153,1.8714812
512,-5.2070713,1.6102692
513,-4.907451,2.025635
514,-4.968835,2.018533
515,-5.1374974,1.8453777
516,-4.954878,1.9198031
517,-5.015225,1.9923689
518,-5.1933646,1.7813036
519,-5.193687,1.7680387
520,-4.9648004,2.0078175
521,-4.994122,2.0255427
522,-4.966533,2.0123963
523,-4.807317,2.1622827
524,-4.9655147,2.0157197
525,-4.9177604,2.0449166
526,-5.104188,1.8897786
527,-4.968768,2.0183487
528,-4.9195304,1.995115
529,-4.9341836,1.9738234
530,-4.9289765,1.9823322
531,-5.361477,2.039865
532,-5.048087,1.7909687
533,-5.0916023,1.9829187
534,-5.0756965,1.9859923
535,-5.468552,1.979809
536,-4.9195304,1.995115
537,-4.978596,1.983235
538,-5.1047964,1.9257007
539,-5.413229,2.583554
540,-4.9856157,1.8973856
541,-5.000698,1.8764209
542,-4.947476,2.1091535
543,-5.4159303,1.9912797
544,-4.9195304,1.995115
